Model_path,Loss,Accuracy,Precision,Recall
Models/D_V2\CNN-Adam_20240719_191253.h5,2.6858,18.1818,19.1011,17.1717
Models/D_V2\CNN-GAP-Adam_20240719_194526.h5,0.1201,97.9798,97.9167,94.9495
Models/D_V2\CNN-GAP-RMS-100E_20240719_194036.h5,0.4123,96.9697,100.0,82.8283
Models/D_V2\CNN-RMS-50E_20240719_191523.h5,2.2789,25.2525,0.0,0.0
Models/D_V2\Deeper-CNN_20240719_195716.h5,4.9706,12.1212,0.0,0.0
Models/D_V2\Simple-CNN-100E_20240719_210229.h5,0.2677,92.9293,96.7742,90.9091
Models/D_V2\Simple-CNN-50E_20240719_192950.h5,0.6511,86.8687,91.3793,53.5354
