Model_path,Loss,Accuracy,Precision,Recall
Models\CNN-Adam_20240719_153518.h5,1.0569,75.0,100.0,9.2593
Models\CNN-GAP-Adam_20240719_160118.h5,1.2588,44.7531,44.127,42.9012
Models\CNN-GAP-RMS-100E_20240719_155948.h5,0.2754,96.2963,97.7346,93.2099
Models\CNN-RMS-50E_20240719_154036.h5,1.1653,52.7778,100.0,0.9259
Models\Deeper-CNN_20240719_161315.h5,3.9061,25.6173,0.0,0.0
Models\Deeper-CNN_20240719_162035.h5,3.9449,24.6914,0.0,0.0
Models\Simple-CNN-50E_20240719_154828.h5,0.3722,89.5062,91.4191,85.4938
