Model_path,Loss,Accuracy,Precision,Recall
Models/D_v2\CNN-GAP-RMS-100E_20240719_194036.h5,0.5582,91.358,98.4353,77.6655
Models/D_v2\CNN-GAP-RMS-100E_20240719_235457.h5,0.5864,88.7767,97.9463,69.5847
Models/D_v2\CNN-GAP-Adam_20240719_235915.h5,0.4399,87.991,87.8995,86.4198
Models/D_v2\Simple-CNN-100E_20240719_210229.h5,1.1433,87.7666,89.2899,86.0831
Models/D_v2\CNN-GAP-Adam_20240719_194526.h5,1.2841,86.3075,87.1043,83.3894
Models/D_v2\Simple-CNN-50E_20240719_192950.h5,1.0994,84.9607,83.1304,53.6476
Models/D_v2\Simple-CNN-100E_20240719_234629.h5,0.8137,80.8081,96.8354,34.3434
Models/D_v2\CNN-RMS-50E_20240719_231952.h5,1.0196,56.6779,89.9329,45.1178
Models/D_v2\CNN-Adam_20240719_231809.h5,1.8297,44.1077,64.4578,36.0269
Models/D_v2\CNN-RMS-50E_20240719_191523.h5,2.2858,27.4972,0.0,0.0
Models/D_v2\CNN-Adam_20240719_191253.h5,3.0048,18.2941,20.0,18.2941
Models/D_v2\Deeper-CNN_20240720_001257.h5,5.1304,17.7329,0.0,0.0
Models/D_v2\Deeper-CNN_20240719_195716.h5,4.9855,8.7542,0.0,0.0
