Model_path,Loss,Accuracy,Precision,Recall
Models\CNN-Adam_20240719_153518.h5,1.0467,80.5556,100.0,11.1111
Models\CNN-GAP-Adam_20240719_160118.h5,1.2456,41.6667,41.6667,41.6667
Models\CNN-GAP-RMS-100E_20240719_155948.h5,0.2478,97.2222,97.1429,94.4444
Models\CNN-RMS-50E_20240719_154036.h5,1.1966,44.4444,100.0,5.5556
Models\Deeper-CNN_20240719_161315.h5,3.9259,19.4444,0.0,0.0
Models\Deeper-CNN_20240719_162035.h5,3.9414,27.7778,0.0,0.0
Models\Simple-CNN-50E_20240719_154828.h5,0.3853,83.3333,85.2941,80.5556
