Model_path,Loss,Accuracy,Precision,Recall
Models/D_v2\CNN-Adam_20240719_191253.h5,2.8487,18.743,19.9275,18.5185
Models/D_v2\CNN-GAP-Adam_20240719_194526.h5,0.1466,95.0617,96.2485,92.1437
Models/D_v2\CNN-GAP-RMS-100E_20240719_194036.h5,0.4084,98.3165,99.3351,83.8384
Models/D_v2\CNN-RMS-50E_20240719_191523.h5,2.2514,27.4972,0.0,0.0
Models/D_v2\Deeper-CNN_20240719_195716.h5,4.9854,8.7542,0.0,0.0
Models/D_v2\Simple-CNN-50E_20240719_192950.h5,0.6537,88.8889,94.6535,53.6476
